MARCA,DISCO,RAM,PULGADAS,PRECIO,MODELO,PROCESADOR,LINK
hp,64,4,14,369.00,2,intel celeron,https://www.bestbuy.com/site/hp-2-in-1-14-touch-screen-chromebook-intel-celeron-4gb-memory-64gb-emmc-natural-silver/6504562.p?skuId=6504562
samsung,1024,16,15.6,999.99,galaxy book,intel core i7,https://www.bestbuy.com/site/samsung-galaxy-book-pro-360-15-6-amoled-touch-screen-laptop-intel-evo-platform-core-i7-16gb-memory-1tb-ssd-mystic-navy/6457790.p?skuId=6457790
hp,64,4,14,249.00,chromebook ,intel celeron,https://www.bestbuy.com/site/hp-14-chromebook-intel-celeron-4gb-memory-64gb-emmc-modern-gray/6513217.p?skuId=6513217
dell,512,16,14,749.99,inspiron,amd ryzen 7,https://www.bestbuy.com/site/dell-inspiron-2-in-1-14-fhd-touch-laptop-amd-ryzen-7-16gb-memory-512gb-ssd-pebble-green/6503233.p?skuId=6503233
microsoft,256,8,13.5,749.99,surface laptop 4,amd ryzen 5,https://www.bestbuy.com/site/microsoft-surface-laptop-4-13-5-touch-screen-amd-ryzen-5-surface-edition-8gb-memory-256gb-solid-state-drive-platinum/6455189.p?skuId=6455189
asus,1024,16,14,1199.99,rog,amd ryzen 9,https://www.bestbuy.com/site/asus-rog-zephyrus-14-wqxga-120hz-gaming-laptop-amd-ryzen-9-16gb-ddr5-memory-amd-radeon-rx-6700s-1tb-pcie-4-0-ssd/6494638.p?skuId=6494638
asus,1024,16,16,1749.99,rog,intel core i9,https://www.bestbuy.com/site/asus-rog-zephyrus-16-wqxga-165hz-gaming-laptop-intel-core-i9-16gb-ddr5-memory-nvidia-geforce-rtx-3070-ti-1tb-pcie-4-0-ssd-off-black/6494637.p?skuId=6494637
asus,512,8,15.6,879.99,tuf,amd ryzen 7,https://www.bestbuy.com/site/asus-tuf-gaming-a15-15-6-fhd-144hz-gaming-laptop-amd-ryzen-7-8gb-ddr5-memory-nvidia-geforce-rtx-3050-ti-512gb-pcie-ssd/6501561.p?skuId=6501561
microsoft,256,8,15,949.99,surface laptop 4,amd ryzen 7,https://www.bestbuy.com/site/microsoft-surface-laptop-4-15-touch-screen-amd-ryzen-7-surface-edition-8gb-memory-256gb-solid-state-drive-platinum/6455193.p?skuId=6455193
hp omen,512,16,16.1,1099.99,16.1,amd ryzen 7,https://www.bestbuy.com/site/hp-omen-16-1-laptop-amd-ryzen-7-6800h-16gb-memory-nvidia-geforce-rtx-3060-512gb-ssd-mica-silver/6504415.p?skuId=6504415
microsoft,512,16,14.4,1899.99,surface laptop studio,intel core i7,https://www.bestbuy.com/site/microsoft-surface-laptop-studio-14-4-touch-screen-intel-core-i7-16gb-memory-nvidia-geforce-rtx-3050-ti-512gb-ssd-platinum/6478302.p?skuId=6478302
samsung,128,4,12.4,369.00,galaxy chromebook,intel celeron,https://www.bestbuy.com/site/samsung-galaxy-chromebook-2-360-12-4-led-2-in-1-touch-screen-laptop-intel-celeron-4gb-memory-intel-uhd-graphics-128gb-silver/6502057.p?skuId=6502057
acer,512,16,15.6,849.99,nitro,intel core i5,https://www.bestbuy.com/site/acer-nitro-5-15-6-fhd-gaming-laptop-intel-core-i5-nvidia-geforce-rtx-3050-ti-16gb-ddr4-512gb-gen-4-ssd-black/6504566.p?skuId=6504566
lenovo,1024,16,16,1749.99,legion,amd ryzen 9,https://www.bestbuy.com/site/lenovo-legion-slim-7-amd-advantage-edition-16-wqxga-gaming-laptop-amd-ryzen-9-6900hx-16gb-memory-amd-radeon-rx-6800s-1tb-ssd-onyx-grey/6504422.p?skuId=6504422
hp,512,8,15.6,767.99,pavilion,intel core i5,https://www.bestbuy.com/site/hp-pavilion-15-6-laptop-intel-core-i5-1235u-8gb-memory-512gb-ssd-natural-silver/6511220.p?skuId=6511220
msi,1024,16,15.6,999.99,sword,intel core i7,https://www.bestbuy.com/site/msi-sword-15-6-144hz-gaming-laptop-intel-core-i7-nvidia-geforce-rtx-3060-1tb-ssd-16gb-memory-black/6496176.p?skuId=6496176
lg,512,16,17,1299.99,ultrapc,intel core i7,https://www.bestbuy.com/site/lg-ultrapc-17-laptop-intel-core-i7-16gb-memory-nvidia-geforce-rtx-3050-ti-512gb-solid-state-drive/6504764.p?skuId=6504764
apple,512,8,13.3,1299.00,m2,apple m2,https://www.bestbuy.com/site/macbook-pro-13-3-laptop-apple-m2-chip-8gb-memory-512gb-ssd-latest-model-space-gray/6509653.p?skuId=6509653
microsoft,128,8,12.3,699.99,surface pro,intel core i3,https://www.bestbuy.com/site/microsoft-surface-pro-7-12-3-touch-screen-intel-core-i3-8gb-memory-128gb-ssd-with-black-type-cover-latest-model-platinum/6482181.p?skuId=6482181
asus,1024,16,14,1399.99,rog,amd ryzen 9,https://www.bestbuy.com/site/asus-rog-zephyrus-14-wqxga-120hz-gaming-laptop-amd-ryzen-9-16gb-ddr5-memory-amd-radeon-rx-6800s-1tb-pcie-4-0-ssd-moonlight-white/6494639.p?skuId=6494639
msi,1024,16,17.3,1399.99,stealth,intel core i7,https://www.bestbuy.com/site/msi-stealth-17-3-144hz-gaming-laptop-intel-core-i7-nvidia-geforce-rtx-3060-1tb-ssd-16gb-memory-black/6496178.p?skuId=6496178
samsung,256,8,13.3,749.99,galaxy book2,intel core i5,https://www.bestbuy.com/site/samsung-galaxy-book2-360-13-3-amoled-touch-screen-laptop-intel-12th-gen-core-i5-evo-platform-8gb-memory-256gb-ssd-graphite/6501585.p?skuId=6501585
lenovo,512,16,14,949.99,yoga,intel core i7,https://www.bestbuy.com/site/lenovo-yoga-7i-14-2-2k-touch-2-in-1-laptop-intel-evo-platform-core-i7-1255u-16gb-memory-512gb-ssd-stone-blue/6502222.p?skuId=6502222
acer,256,8,14.0,579.00,chromebook spin,intel core i5,https://www.bestbuy.com/site/acer-chromebook-spin-714-laptop-14-0-2-in-1-touchscreen-intel-evo-core-i5-8gb-256gb-ssd-slate-blue/6507836.p?skuId=6507836
lenovo,64,4,14,269.00,chromebook 3,mediatek,https://www.bestbuy.com/site/lenovo-chromebook-3-14-touch-laptop-mediatek-mt8183-4gb-memory-64gb-emmc-arctic-grey/6447140.p?skuId=6447140
apple,512,16,16,2299.00,m1,apple m1,https://www.bestbuy.com/site/macbook-pro-16-laptop-apple-m1-pro-chip-16gb-memory-512gb-ssd-space-gray/6450858.p?skuId=6450858
apple,1024,16,16,2499.00,m1,apple m1,https://www.bestbuy.com/site/macbook-pro-16-laptop-apple-m1-pro-chip-16gb-memory-1tb-ssd-space-gray/6450859.p?skuId=6450859
samsung,64,4,15.6,249.00,chromebook ,intel celeron,https://www.bestbuy.com/site/samsung-15-6-chromebook-intel-celeron-4gb-memory-64gb-emmc-flash-memory-platinum-titan/6503860.p?skuId=6503860
apple,512,16,14,1899.00,m1,apple m1,https://www.bestbuy.com/site/macbook-pro-14-laptop-apple-m1-pro-chip-16gb-memory-512gb-ssd-space-gray/6450853.p?skuId=6450853
microsoft,256,16,14.4,1299.00,surface laptop studio,intel core i5,https://www.bestbuy.com/site/microsoft-surface-laptop-studio-14-4-touch-screen-intel-core-i5-16gb-memory-256gb-ssd-platinum/6478305.p?skuId=6478305
asus,64,4,17.3,329.00,chromebook ,intel celeron,https://www.bestbuy.com/site/asus-17-3-chromebook-intel-celeron-n4500-4gb-memory-64gb-emmc-transparent-silver/6504419.p?skuId=6504419
acer,512,16,15.6,1299.99,predator,intel core i7,https://www.bestbuy.com/site/acer-predator-helios-300-15-6-fhd-165hz-gaming-laptop-intel-core-i7-16gb-ddr5-nvidia-geforce-rtx-3060-512gb-ssd/6504563.p?skuId=6504563
acer,128,8,14.0,429.00,chromebook spin,amd ryzen 3,https://www.bestbuy.com/site/acer-chromebook-spin-514-laptop-14-0-full-hd-2-in-1-touchscreen-amd-ryzen-3-5125c-8gb-128gb-wifi-6-silver/6513115.p?skuId=6513115
lenovo,512,16,16,1199.99,legion,amd ryzen 7,https://www.bestbuy.com/site/lenovo-legion-5-pro-16-wqxga-gaming-laptop-ryzen-7-6800h-16gb-memory-nvidia-geforce-rtx-3050-ti-512gb-ssd-storm-grey/6504429.p?skuId=6504429
asus,512,16,14,1099.99,rog,amd ryzen 7,https://www.bestbuy.com/site/asus-rog-zephyrus-14-fhd-144hz-gaming-laptop-amd-ryzen-7-16gb-ddr4-memory-nvidia-geforce-rtx-3060-512gb-pcie-ssd-moonlight-white/6494633.p?skuId=6494633
microsoft,128,8,10.5,499.99,surface go,intel pentium,https://www.bestbuy.com/site/microsoft-surface-go-3-10-5-touch-screen-intel-pentium-gold-8gb-memory-128gb-ssd-device-only-latest-model-matte-black/6490629.p?skuId=6490629
acer,1024,16,15.6,1599.99,predator,intel core i7,https://www.bestbuy.com/site/acer-predator-helios-300-15-6-qhd-240hz-gaming-laptop-intel-core-i7-16gb-ddr5-nvidia-geforce-rtx-3070-ti-1tb-ssd/6504564.p?skuId=6504564
asus,512,8,17.3,799.99,tuf,intel core i5,https://www.bestbuy.com/site/asus-tuf-gaming-17-3-laptop-intel-core-i5-8gb-memory-nvidia-geforce-rtx-3050-ti-512gb-ssd-eclipse-gray/6485599.p?skuId=6485599
alienware,512,16,15.6,1699.99,m15,amd ryzen 7,https://www.bestbuy.com/site/alienware-m15-r7-15-6-qhd-240hz-gaming-laptop-amd-ryzen-7-16gb-memory-nvidia-geforce-rtx-3070-ti-512gb-ssd-dark-side-of-the-moon/6510330.p?skuId=6510330
msi,512,8,15.6,899.99,sword,intel core i7,https://www.bestbuy.com/site/msi-sword-15-6-gaming-laptop-intel-core-i7-nvidia-geforce-rtx-3050-ti-512gb-ssd-8gb-memory-black/6464556.p?skuId=6464556
microsoft,1024,32,14.4,2200.00,surface laptop studio,intel core i7,https://www.bestbuy.com/site/microsoft-surface-laptop-studio-14-4-touch-screen-intel-core-i7-32gb-memory-nvidia-geforce-rtx-3050-ti-1tb-ssd-platinum/6478303.p?skuId=6478303
dell,1024,16,16.0,1099.99,g16,intel core i7,https://www.bestbuy.com/site/dell-g16-16-0-qhd-165hz-gaming-laptop-12th-generation-intel-core-i7-16gb-memory-nvidia-geforce-rtx-3060-1tb-ssd-obsidian-black/6519388.p?skuId=6519388
asus,1024,16,16,1749.99,rog,amd ryzen 9,https://www.bestbuy.com/site/asus-rog-16-touchscreen-gaming-laptop-amd-ryzen-9-16gb-ddr5-memory-nvidia-geforce-rtx-3060-v6g-graphics-1tb-ssd-off-black/6507909.p?skuId=6507909
alienware,1024,16,15.6,2199.99,x15,intel core i7,https://www.bestbuy.com/site/alienware-x15-r2-15-6-fhd-gaming-laptop-12th-gen-intel-core-i7-16gb-memory-nvidia-geforce-rtx-3070-ti-1tb-ssd-lunar-light/6512742.p?skuId=6512742
asus,512,8,15.6,679.99,tuf,intel core i5,https://www.bestbuy.com/site/asus-tuf-gaming-15-6-laptop-intel-core-i5-8gb-memory-nvidia-geforce-rtx-3050-512gb-ssd-eclipse-gray/6512281.p?skuId=6512281
alienware,512,16,15.6,1799.99,x15,intel core i7,https://www.bestbuy.com/site/alienware-x15-r1-15-6-fhd-gaming-laptop-intel-core-i7-16gb-memory-nvidia-geforce-rtx-3070-512gb-solid-state-drive-white-lunar-light/6464984.p?skuId=6464984
microsoft,1024,16,13,1945.00,surface pro,intel core i7,https://www.bestbuy.com/site/microsoft-surface-pro-9-13-touch-screen-intel-evo-platform-core-i7-16gb-memory-1tbssd-device-only-latest-model-platinum/6517642.p?skuId=6517642
asus,1024,16,15.6,1899.99,rog,amd ryzen 9,https://www.bestbuy.com/site/asus-rog-zephyrus-15-6-qhd-gaming-laptop-amd-ryzen-9-16gb-memory-nvidia-geforce-rtx-3080-1tb-ssd-eclipse-gray/6477441.p?skuId=6477441
microsoft,128,8,10.5,499.99,surface go,intel pentium,https://www.bestbuy.com/site/microsoft-surface-go-3-10-5-touch-screen-intel-pentium-gold-8gb-memory-128gb-ssd-device-only-latest-model-platinum/6478762.p?skuId=6478762
microsoft,128,8,10.5,579.99,surface go,intel core i3,https://www.bestbuy.com/site/microsoft-surface-go-3-10-5-touch-screen-intel-core-i3-8gb-memory-128gb-ssd-device-only-latest-model-platinum/6478761.p?skuId=6478761
razer,1024,16,14,2210.99,blade 14,amd ryzen 9,https://www.bestbuy.com/site/razer-blade-14-14-gaming-laptop-qhd-165hz-amd-ryzen-9-6900hx-nvidia-geforce-rtx-3070-ti-16gb-ram-1tb-ssd-black/6499098.p?skuId=6499098
samsung,64,4,13.3,449.00,galaxy chromebook,intel celeron,https://www.bestbuy.com/site/samsung-galaxy-chromebook-2-13-3-qled-touch-screen-intel-celeron-4gb-memory-64gb-emmc-mercury-gray/6450561.p?skuId=6450561
apple,1024,32,16,3299.00,m1,apple m1,https://www.bestbuy.com/site/macbook-pro-16-laptop-apple-m1-max-chip-32gb-memory-1tb-ssd-space-gray/6450860.p?skuId=6450860
